Type, Size, Evals, GPop, Time, GPop_sec, L1, L2, L3, Cache_misses, Misses_GPop
SIMD, 100, 100, 182000, 0.000069, 2637681152.000000, 548, 336, 24, 908, 0.004989
SIMD, 100, 100, 291600, 0.000097, 3006185728.000000, 580, 371, 1, 952, 0.003265
SIMD, 100, 100, 185400, 0.000070, 2648571392.000000, 554, 364, 1, 919, 0.004957
SIMD, 100, 100, 192000, 0.000071, 2704225280.000000, 551, 368, 0, 919, 0.004786
SIMD, 100, 100, 183400, 0.000068, 2697058816.000000, 546, 359, 0, 905, 0.004935
SIMD, 100, 500, 908000, 0.000272, 3338235136.000000, 1183, 826, 0, 2009, 0.002213
SIMD, 100, 500, 1063000, 0.000313, 3396166144.000000, 1226, 846, 0, 2072, 0.001949
SIMD, 100, 500, 1071400, 0.000313, 3423003136.000000, 1246, 882, 0, 2128, 0.001986
SIMD, 100, 500, 886600, 0.000264, 3358333184.000000, 1160, 828, 0, 1988, 0.002242
SIMD, 100, 500, 1021600, 0.000302, 3382781440.000000, 1196, 804, 0, 2000, 0.001958
SIMD, 100, 1000, 2156800, 0.000618, 3489967616.000000, 2125, 1427, 0, 3552, 0.001647
SIMD, 100, 1000, 2039600, 0.000588, 3468707584.000000, 1988, 1369, 3, 3360, 0.001647
SIMD, 100, 1000, 2113400, 0.000603, 3504809216.000000, 2010, 1423, 0, 3433, 0.001624
SIMD, 100, 1000, 2173200, 0.000617, 3522204416.000000, 2062, 1442, 0, 3504, 0.001612
SIMD, 100, 1000, 2111000, 0.000605, 3489256192.000000, 2093, 1529, 0, 3622, 0.001716
SIMD, 100, 5000, 10596800, 0.002955, 3586057728.000000, 8222, 7553, 1, 15776, 0.001489
SIMD, 100, 5000, 10467200, 0.002921, 3583430400.000000, 8228, 7456, 0, 15684, 0.001498
SIMD, 100, 5000, 10746400, 0.002992, 3591711232.000000, 8340, 7424, 0, 15764, 0.001467
SIMD, 100, 5000, 10573000, 0.002942, 3593813760.000000, 8306, 7474, 2, 15782, 0.001493
SIMD, 100, 5000, 10374200, 0.002899, 3578544384.000000, 8189, 7453, 0, 15642, 0.001508
SIMD, 100, 10000, 21074800, 0.005854, 3600068352.000000, 15792, 14443, 0, 30235, 0.001435
SIMD, 100, 10000, 20551400, 0.005714, 3596674816.000000, 15775, 14388, 1, 30164, 0.001468
SIMD, 100, 10000, 19903200, 0.005552, 3584870400.000000, 15614, 14268, 0, 29882, 0.001501
SIMD, 100, 10000, 20232200, 0.005633, 3591727360.000000, 15670, 14272, 0, 29942, 0.001480
SIMD, 100, 10000, 20689200, 0.005743, 3602507264.000000, 15867, 14376, 0, 30243, 0.001462
SIMD, 500, 100, 644000, 0.000122, 5278688768.000000, 9872, 1115, 0, 10987, 0.017061
SIMD, 500, 100, 1257000, 0.000209, 6014353920.000000, 17958, 1194, 3, 19155, 0.015239
SIMD, 500, 100, 1652000, 0.000263, 6281369088.000000, 23761, 1193, 0, 24954, 0.015105
SIMD, 500, 100, 696000, 0.000129, 5395348992.000000, 8638, 1085, 0, 9723, 0.013970
SIMD, 500, 100, 905000, 0.000159, 5691823616.000000, 13833, 1166, 0, 14999, 0.016573
SIMD, 500, 500, 5253000, 0.000798, 6582706688.000000, 67124, 1634, 0, 68758, 0.013089
SIMD, 500, 500, 4122000, 0.000634, 6501577216.000000, 50938, 1646, 0, 52584, 0.012757
SIMD, 500, 500, 5229000, 0.000787, 6644218368.000000, 68236, 1718, 0, 69954, 0.013378
SIMD, 500, 500, 5380000, 0.000821, 6552984064.000000, 73098, 1661, 0, 74759, 0.013896
SIMD, 500, 500, 5463000, 0.000827, 6605804032.000000, 74835, 1728, 0, 76563, 0.014015
SIMD, 500, 1000, 8705000, 0.001315, 6619771904.000000, 118414, 2386, 0, 120800, 0.013877
SIMD, 500, 1000, 9145000, 0.001372, 6665452032.000000, 123594, 2261, 0, 125855, 0.013762
SIMD, 500, 1000, 10999000, 0.001626, 6764452352.000000, 140621, 2283, 1, 142905, 0.012993
SIMD, 500, 1000, 11086000, 0.001646, 6735115776.000000, 156134, 2464, 0, 158598, 0.014306
SIMD, 500, 1000, 10090000, 0.001508, 6690981376.000000, 135076, 2388, 0, 137464, 0.013624
SIMD, 500, 5000, 53019000, 0.007768, 6825309184.000000, 700424, 8320, 4, 708748, 0.013368
SIMD, 500, 5000, 51758000, 0.007587, 6821932544.000000, 691232, 8425, 0, 699657, 0.013518
SIMD, 500, 5000, 51505000, 0.007554, 6818242048.000000, 689587, 8311, 0, 697898, 0.013550
SIMD, 500, 5000, 51226000, 0.007506, 6824673792.000000, 676082, 8364, 0, 684446, 0.013361
SIMD, 500, 5000, 52968000, 0.007709, 6870930432.000000, 705156, 8081, 2, 713239, 0.013465
SIMD, 500, 10000, 106242000, 0.015456, 6873835008.000000, 1417621, 15531, 1, 1433153, 0.013490
SIMD, 500, 10000, 103194000, 0.015113, 6828161024.000000, 1378320, 15331, 3, 1393654, 0.013505
SIMD, 500, 10000, 105882000, 0.015459, 6849213952.000000, 1415657, 15513, 1, 1431171, 0.013517
SIMD, 500, 10000, 104049000, 0.015082, 6898886144.000000, 1384096, 15547, 0, 1399643, 0.013452
SIMD, 500, 10000, 105708000, 0.015343, 6889656320.000000, 1395442, 15915, 0, 1411357, 0.013351
SIMD, 1000, 100, 2140000, 0.000352, 6079545344.000000, 79876, 2171, 2, 82049, 0.038341
SIMD, 1000, 100, 1698000, 0.000278, 6107913728.000000, 62099, 1937, 1, 64037, 0.037713
SIMD, 1000, 100, 2050000, 0.000343, 5976676352.000000, 78640, 2014, 0, 80654, 0.039343
SIMD, 1000, 100, 2574000, 0.000413, 6232445440.000000, 96542, 2469, 0, 99011, 0.038466
SIMD, 1000, 100, 2610000, 0.000422, 6184834048.000000, 97806, 2146, 0, 99952, 0.038296
SIMD, 1000, 500, 11392000, 0.001736, 6562212352.000000, 431457, 2819, 1, 434277, 0.038121
SIMD, 1000, 500, 10748000, 0.001642, 6545675776.000000, 404301, 2796, 0, 407097, 0.037877
SIMD, 1000, 500, 11318000, 0.001742, 6497129984.000000, 421854, 6368, 1, 428223, 0.037836
SIMD, 1000, 500, 8852000, 0.001376, 6433139712.000000, 336359, 3051, 1, 339411, 0.038343
SIMD, 1000, 500, 8062000, 0.001240, 6501613056.000000, 304791, 3235, 1, 308027, 0.038207
SIMD, 1000, 1000, 22148000, 0.003318, 6675105792.000000, 827921, 4808, 6, 832735, 0.037599
SIMD, 1000, 1000, 22058000, 0.003321, 6641975296.000000, 824562, 4134, 5, 828701, 0.037569
SIMD, 1000, 1000, 22302000, 0.003354, 6649374208.000000, 842060, 4102, 0, 846162, 0.037941
SIMD, 1000, 1000, 20708000, 0.003148, 6578144768.000000, 776737, 4268, 0, 781005, 0.037715
SIMD, 1000, 1000, 20992000, 0.003162, 6638836224.000000, 793027, 3700, 2, 796729, 0.037954
SIMD, 1000, 5000, 111816000, 0.016619, 6728202240.000000, 4193289, 11949, 3, 4205241, 0.037609
SIMD, 1000, 5000, 105492000, 0.015781, 6684747264.000000, 3975064, 18347, 4, 3993415, 0.037855
SIMD, 1000, 5000, 99980000, 0.014999, 6665777664.000000, 3764923, 15769, 1, 3780693, 0.037814
SIMD, 1000, 5000, 101780000, 0.015224, 6685496320.000000, 3817802, 11656, 1, 3829459, 0.037625
SIMD, 1000, 5000, 99740000, 0.014853, 6715141632.000000, 3730872, 11607, 0, 3742479, 0.037522
SIMD, 1000, 10000, 209626000, 0.031064, 6748197376.000000, 7827075, 20427, 4, 7847506, 0.037436
SIMD, 1000, 10000, 203028000, 0.030206, 6721445888.000000, 7625913, 19860, 5, 7645778, 0.037659
SIMD, 1000, 10000, 208486000, 0.030921, 6742537728.000000, 7806156, 20092, 1, 7826249, 0.037538
SIMD, 1000, 10000, 204056000, 0.030394, 6713693696.000000, 7647925, 24929, 0, 7672854, 0.037602
SIMD, 1000, 10000, 210602000, 0.031186, 6753094656.000000, 7852865, 19170, 2, 7872037, 0.037379
SIMD, 5000, 100, 6490000, 0.001719, 3775450624.000000, 874552, 147362, 0, 1021914, 0.157460
SIMD, 5000, 100, 13280000, 0.003448, 3851508224.000000, 1725644, 374617, 0, 2100261, 0.158152
SIMD, 5000, 100, 7180000, 0.001945, 3691516672.000000, 959732, 239436, 0, 1199168, 0.167015
SIMD, 5000, 100, 9390000, 0.002440, 3848360704.000000, 1236828, 246539, 0, 1483367, 0.157973
SIMD, 5000, 100, 7930000, 0.002128, 3726503936.000000, 1054719, 260012, 0, 1314731, 0.165792
SIMD, 5000, 500, 56540000, 0.014212, 3978328064.000000, 7407183, 1545652, 1, 8952836, 0.158345
SIMD, 5000, 500, 41780000, 0.010580, 3948960512.000000, 5552529, 1125919, 0, 6678448, 0.159848
SIMD, 5000, 500, 56100000, 0.014014, 4003139584.000000, 7351890, 1420348, 0, 8772238, 0.156368
SIMD, 5000, 500, 39410000, 0.010002, 3940211968.000000, 5254824, 1004135, 1, 6258960, 0.158817
SIMD, 5000, 500, 47880000, 0.012024, 3982035712.000000, 6318317, 1191623, 6, 7509946, 0.156849
SIMD, 5000, 1000, 115390000, 0.028778, 4009660160.000000, 15109272, 3018951, 1, 18128224, 0.157104
SIMD, 5000, 1000, 112210000, 0.028028, 4003496448.000000, 14705988, 2906928, 0, 17612916, 0.156964
SIMD, 5000, 1000, 92370000, 0.023061, 4005463808.000000, 12217265, 2309908, 2, 14527175, 0.157272
SIMD, 5000, 1000, 125690000, 0.031263, 4020407296.000000, 16402098, 3276032, 0, 19678130, 0.156561
SIMD, 5000, 1000, 92570000, 0.023218, 3986992896.000000, 12244076, 2430352, 2, 14674430, 0.158523
SIMD, 5000, 5000, 531880000, 0.132750, 4006628864.000000, 69885504, 14773594, 2, 84659100, 0.159170
SIMD, 5000, 5000, 518150000, 0.128471, 4033206016.000000, 68181805, 12786225, 7, 80968037, 0.156264
SIMD, 5000, 5000, 527220000, 0.130857, 4028977920.000000, 69312435, 14148184, 2, 83460621, 0.158303
SIMD, 5000, 5000, 560150000, 0.139517, 4014923264.000000, 73444193, 15476907, 19, 88921119, 0.158745
SIMD, 5000, 5000, 511110000, 0.127356, 4013238784.000000, 67294629, 13371425, 6, 80666060, 0.157825
SIMD, 5000, 10000, 1063300000, 0.263709, 4032095744.000000, 139762071, 28149184, 2, 167911257, 0.157915
SIMD, 5000, 10000, 1053310000, 0.262142, 4018089472.000000, 138498184, 27252110, 5, 165750299, 0.157361
SIMD, 5000, 10000, 1055140000, 0.261929, 4028343296.000000, 138725648, 26788319, 5, 165513972, 0.156864
SIMD, 5000, 10000, 1039920000, 0.258409, 4024318208.000000, 136804575, 26993922, 2, 163798499, 0.157511
SIMD, 5000, 10000, 1032210000, 0.264793, 3898176768.000000, 136205269, 26562491, 6, 162767766, 0.157689
SIMD, 10000, 100, 20580000, 0.005850, 3517948928.000000, 2711983, 1202114, 0, 3914097, 0.190189
SIMD, 10000, 100, 19420000, 0.005377, 3611679232.000000, 2566685, 1023049, 1, 3589735, 0.184847
SIMD, 10000, 100, 20920000, 0.005814, 3598211072.000000, 2755566, 1142492, 0, 3898058, 0.186332
SIMD, 10000, 100, 29400000, 0.008064, 3645833472.000000, 3824779, 1605087, 2, 5429868, 0.184689
SIMD, 10000, 100, 23680000, 0.006605, 3585163008.000000, 3102136, 1289681, 3, 4391820, 0.185465
SIMD, 10000, 500, 97480000, 0.026607, 3663697664.000000, 12911029, 5401790, 1, 18312820, 0.187862
SIMD, 10000, 500, 79580000, 0.021782, 3653475328.000000, 10653849, 4351124, 0, 15004973, 0.188552
SIMD, 10000, 500, 117680000, 0.031973, 3680605440.000000, 15458498, 6542005, 1, 22000504, 0.186952
SIMD, 10000, 500, 78820000, 0.021534, 3660258304.000000, 10558293, 4332656, 1, 14890950, 0.188923
SIMD, 10000, 500, 106460000, 0.028946, 3677883136.000000, 14043776, 5850994, 3, 19894773, 0.186876
SIMD, 10000, 1000, 189900000, 0.051615, 3679163136.000000, 25195067, 10472185, 6, 35667258, 0.187821
SIMD, 10000, 1000, 229240000, 0.062238, 3683280384.000000, 30153646, 12862745, 2, 43016393, 0.187648
SIMD, 10000, 1000, 198920000, 0.053637, 3708633856.000000, 26330397, 10708530, 5, 37038932, 0.186200
SIMD, 10000, 1000, 199380000, 0.053781, 3707257344.000000, 26390142, 10800794, 1, 37190937, 0.186533
SIMD, 10000, 1000, 211180000, 0.057258, 3688218368.000000, 27878853, 11749254, 0, 39628107, 0.187651
SIMD, 10000, 5000, 1038440000, 0.280973, 3695871232.000000, 137226152, 57661383, 3, 194887538, 0.187673
SIMD, 10000, 5000, 1061700000, 0.287354, 3694745856.000000, 140167165, 59157067, 3, 199324235, 0.187741
SIMD, 10000, 5000, 1077360000, 0.290887, 3703706368.000000, 142136286, 59645616, 3, 201781905, 0.187293
SIMD, 10000, 5000, 1067460000, 0.289440, 3688018176.000000, 140885706, 59951942, 19, 200837667, 0.188145
SIMD, 10000, 5000, 1049820000, 0.281272, 3732401664.000000, 138657006, 56323353, 1, 194980360, 0.185727
SIMD, 10000, 10000, 2039360000, 0.549363, 3712226560.000000, 269733949, 111059501, 4, 380793454, 0.186722
SIMD, 10000, 10000, 2113140000, 0.571853, 3695250432.000000, 279057223, 118112131, 1, 397169355, 0.187952
SIMD, 10000, 10000, 2115660000, 0.571458, 3702214400.000000, 279374725, 117258029, 7, 396632761, 0.187475
SIMD, 10000, 10000, 2036380000, 0.553111, 3681683968.000000, 269381562, 114913166, 8, 384294736, 0.188715
SIMD, 10000, 10000, 2119280000, 0.572686, 3700596736.000000, 279800931, 117637107, 2, 397438040, 0.187534
SIMD, 50000, 100, 112400000, 0.039233, 2864935168.000000, 14672309, 14101338, 9, 28773656, 0.255993
SIMD, 50000, 100, 100000000, 0.034732, 2879189248.000000, 13119990, 12515398, 5, 25635393, 0.256354
SIMD, 50000, 100, 167400000, 0.057282, 2922383872.000000, 21559120, 20846425, 3, 42405548, 0.253319
SIMD, 50000, 100, 99200000, 0.034696, 2859119104.000000, 13018881, 12623088, 1, 25641970, 0.258488
SIMD, 50000, 100, 103500000, 0.035964, 2877877760.000000, 13557658, 13011932, 2, 26569592, 0.256711
SIMD, 50000, 500, 483200000, 0.166610, 2900186112.000000, 63612559, 61722487, 62, 125335108, 0.259386
SIMD, 50000, 500, 556600000, 0.190483, 2922045440.000000, 72803408, 70083508, 10, 142886926, 0.256714
SIMD, 50000, 500, 583400000, 0.199919, 2918181888.000000, 76161662, 73640372, 3, 149802037, 0.256774
SIMD, 50000, 500, 506600000, 0.174330, 2905982976.000000, 66544130, 64509225, 7, 131053362, 0.258692
SIMD, 50000, 500, 610400000, 0.208747, 2924113920.000000, 79541385, 77000700, 9, 156542094, 0.256458
SIMD, 50000, 1000, 971700000, 0.333956, 2909664512.000000, 127918620, 123914411, 33, 251833064, 0.259168
SIMD, 50000, 1000, 1091300000, 0.373970, 2918148352.000000, 142900111, 138335883, 17, 281236011, 0.257707
SIMD, 50000, 1000, 1163900000, 0.398147, 2923292416.000000, 151997078, 147309374, 20, 299306472, 0.257158
SIMD, 50000, 1000, 1088100000, 0.372040, 2924685312.000000, 142496679, 137713817, 6, 280210502, 0.257523
SIMD, 50000, 1000, 1172100000, 0.400605, 2925824768.000000, 153010789, 148390283, 6, 301401078, 0.257146
SIMD, 50000, 5000, 5078300000, 1.737812, 2922237952.000000, 667239684, 642720222, 114, 1309960020, 0.257952
SIMD, 50000, 5000, 5348600000, 1.830528, 2921889024.000000, 701102861, 677682784, 101, 1378785746, 0.257784
SIMD, 50000, 5000, 5626100000, 1.915121, 2937725696.000000, 735814957, 706764406, 40, 1442579403, 0.256408
SIMD, 50000, 5000, 5189100000, 1.776728, 2920593408.000000, 681093069, 657593509, 27, 1338686605, 0.257980
SIMD, 50000, 5000, 5147500000, 1.762710, 2920219392.000000, 675942250, 653183915, 6, 1329126171, 0.258208
SIMD, 50000, 10000, 10491900000, 3.592335, 2920635136.000000, 1376472337, 1332927320, 66, 2709399723, 0.258237
SIMD, 50000, 10000, 10362500000, 3.544667, 2923405824.000000, 1360247796, 1311187849, 17, 2671435662, 0.257798
SIMD, 50000, 10000, 10541200000, 3.617655, 2913821440.000000, 1382598390, 1330562313, 33, 2713160736, 0.257386
SIMD, 50000, 10000, 10414500000, 3.583756, 2906029312.000000, 1366807901, 1323445333, 172, 2690253406, 0.258318
SIMD, 50000, 10000, 10318500000, 3.544455, 2911166720.000000, 1354792403, 1305387524, 27, 2660179954, 0.257807
SIMD, 100000, 100, 188000000, 0.066477, 2828045824.000000, 24742419, 25084026, 103, 49826548, 0.265035
SIMD, 100000, 100, 176600000, 0.061928, 2851698688.000000, 23316510, 23639986, 18, 46956514, 0.265892
SIMD, 100000, 100, 167800000, 0.059004, 2843874816.000000, 22215110, 22530612, 20, 44745742, 0.266661
SIMD, 100000, 100, 213800000, 0.074143, 2883616768.000000, 27971117, 28363392, 7, 56334516, 0.263492
SIMD, 100000, 100, 118000000, 0.042213, 2795347456.000000, 15984629, 16215463, 13, 32200105, 0.272882
SIMD, 100000, 500, 999200000, 0.343604, 2907998720.000000, 131242102, 133082639, 5, 264324746, 0.264536
SIMD, 100000, 500, 1077000000, 0.369598, 2913976576.000000, 140979690, 142954788, 17, 283934495, 0.263635
SIMD, 100000, 500, 929400000, 0.320657, 2898424064.000000, 122515260, 124194152, 204, 246709616, 0.265450
